50,"(0, 35, 89)"
42,"(210, 37, 77)"
33,"(241, 0, 0)"
34,"(0, 182, 240)"
40,"(215, 25, 33)"
51,"(0, 84, 166)"
66,"(148, 190, 229)"
47,"(6, 13, 60)"
55,"(227, 6, 19)"
36,"(238, 58, 67)"
52,"(20, 67, 144)"
49,"(39, 58, 144)"
39,"(250, 166, 26)"
48,"(124, 44, 59)"
35,"(118, 108, 77)"
65,"(208, 17, 43)"
45,"(0, 79, 158)"
46,"(252, 192, 0)"
63,"(255, 224, 26)"
41,"(218, 33, 40)"
529,"(222, 180, 6)"
541,"(27, 67, 131)"
530,"(45, 49, 95)"
548,"(215, 119, 35)"
533,"(0, 83, 137)"
543,"(0, 149, 76)"
727,"(187, 20, 26)"
531,"(237, 28, 36)"
798,"(237, 28, 36)"
547,"(222, 25, 38)"
728,"(143, 131, 51)"
536,"(235, 35, 39)"
538,"(193, 46, 48)"
724,"(25, 107, 181)"
546,"(16, 94, 169)"
532,"(237, 32, 40)"
723,"(235, 40, 36)"
720,"(238, 59, 51)"
540,"(61, 101, 176)"
797,"(197, 17, 46)"
157,"(206, 31, 55)"
165,"(254, 226, 0)"
173,"(200, 46, 59)"
182,"(212, 36, 38)"
160,
168,"(237, 32, 36)"
169,"(204, 0, 0)"
161,"(82, 166, 0)"
164,"(195, 20, 30)"
163,
192,"(237, 28, 36)"
167,"(23, 91, 165)"
162,"(0, 166, 101)"
176,"(0, 92, 169)"
170,"(180, 43, 49)"
172,"(211, 0, 41)"
174,"(13, 94, 166)"
159,"(0, 90, 171)"
209,"(221, 46, 57)"
197,"(227, 6, 19)"
194,
201,"(225, 29, 50)"
415,"(237, 27, 47)"
426,"(204, 160, 34)"
207,"(228, 6, 34)"
210,"(0, 82, 156)"
417,"(247, 225, 24)"
200,"(244, 222, 12)"
410,"(248, 218, 57)"
413,"(255, 0, 0)"
205,"(0, 111, 81)"
416,"(235, 115, 7)"
196,"(226, 0, 26)"
208,"(236, 62, 67)"
420,"(247, 231, 39)"
202,"(0, 155, 103)"
492,"(8, 85, 161)"
487,"(0, 174, 239)"
505,"(0, 24, 161)"
489,"(237, 28, 36)"
499,"(9, 115, 186)"
497,"(248, 152, 41)"
496,
502,"(89, 51, 138)"
500,"(23, 82, 156)"
503,"(124, 28, 33)"
1579,"(192, 45, 65)"
494,"(153, 153, 102)"
488,"(10, 168, 83)"
511,"(0, 87, 156)"
514,"(131, 28, 27)"
867,"(9, 96, 134)"
515,
504,"(0, 47, 108)"
520,"(226, 170, 82)"
498,"(21, 93, 158)"
85,"(0, 50, 99)"
116,"(199, 29, 34)"
81,"(0, 161, 223)"
94,"(226, 50, 39)"
79,"(36, 33, 106)"
91,"(211, 32, 39)"
80,"(8, 63, 136)"
99,"(0, 47, 103)"
84,"(192, 155, 91)"
97,"(243, 109, 33)"
93,"(236, 0, 0)"
82,"(0, 92, 167)"
96,"(230, 7, 70)"
106,"(237, 28, 39)"
95,"(0, 159, 224)"
83,"(255, 220, 0)"
108,"(22, 74, 153)"
98,"(236, 36, 39)"
110,"(3, 100, 170)"
77,
211,"(255, 13, 0)"
212,"(0, 82, 139)"
217,"(210, 35, 42)"
228,"(0, 136, 99)"
240,"(255, 242, 0)"
224,
223,"(0, 56, 131)"
242,"(247, 200, 20)"
222,"(104, 100, 65)"
4716,"(226, 50, 38)"
810,"(32, 52, 119)"
226,"(246, 139, 31)"
762,"(238, 38, 35)"
230,"(255, 242, 0)"
216,
214,"(17, 100, 51)"
234,"(0, 148, 72)"
227,"(0, 255, 255)"
1599,"(0, 45, 86)"
1614,
1604,"(8, 31, 63)"
1602,"(237, 38, 58)"
2242,"(255, 78, 0)"
9568,
1598,"(235, 205, 125)"
1613,"(255, 222, 0)"
18310,"(0, 135, 206)"
1609,"(10, 34, 64)"
1608,"(128, 0, 11)"
1607,"(126, 175, 222)"
1601,"(172, 32, 45)"
1615,"(236, 28, 45)"
